air_temperature_2m,time
286.713409,1657224000.0
286.393036,1657227600.0
286.219238,1657231200.0
285.929108,1657234800.0
285.224945,1657238400.0
285.157593,1657242000.0
285.223083,1657245600.0
285.91394,1657249200.0
287.114349,1657252800.0
288.463409,1657256400.0
289.582977,1657260000.0
290.450226,1657263600.0
290.928284,1657267200.0
291.807343,1657270800.0
292.703064,1657274400.0
293.636505,1657278000.0
294.0578,1657281600.0
294.137848,1657285200.0
294.222504,1657288800.0
294.133179,1657292400.0
293.811249,1657296000.0
293.405579,1657299600.0
292.765991,1657303200.0
291.990997,1657306800.0
290.926514,1657310400.0
289.994568,1657314000.0
288.988495,1657317600.0
288.088776,1657321200.0
286.366699,1657324800.0
286.046265,1657328400.0
286.243896,1657332000.0
287.200226,1657335600.0
288.316986,1657339200.0
289.673615,1657342800.0
290.941345,1657346400.0
292.026337,1657350000.0
292.96582,1657353600.0
293.595062,1657357200.0
293.923706,1657360800.0
293.790344,1657364400.0
293.085602,1657368000.0
291.82785,1657371600.0
291.080658,1657375200.0
291.0513,1657378800.0
290.81543,1657382400.0
290.685669,1657386000.0
290.30661,1657389600.0
290.096344,1657393200.0
289.755829,1657396800.0
289.348358,1657400400.0
289.135529,1657404000.0
288.906464,1657407600.0
285.792877,1657411200.0
285.698608,1657414800.0
285.279297,1657418400.0
286.084015,1657422000.0
287.356842,1657425600.0
288.400208,1657429200.0
289.299896,1657432800.0
290.594025,1657436400.0
291.790802,1657440000.0
292.729401,1657443600.0
293.440369,1657447200.0
293.508545,1657450800.0
294.521149,1657454400.0
294.042694,1657458000.0
293.214844,1657461600.0
293.357239,1657465200.0
293.07901,1657468800.0
292.790314,1657472400.0
292.066956,1657476000.0
291.499176,1657479600.0
290.550781,1657483200.0
289.582245,1657486800.0
288.826233,1657490400.0
288.416473,1657494000.0
287.893677,1657497600.0
287.711334,1657501200.0
287.839325,1657504800.0
288.151733,1657508400.0
289.071777,1657512000.0
290.675201,1657515600.0
292.547119,1657519200.0
293.480316,1657522800.0
293.79303,1657526400.0
294.317871,1657530000.0
295.478241,1657533600.0
295.724091,1657537200.0
295.39447,1657540800.0
294.845184,1657544400.0
295.452026,1657548000.0
295.655304,1657551600.0
295.448303,1657555200.0
294.815308,1657558800.0
294.049774,1657562400.0
293.188416,1657566000.0
292.270966,1657569600.0
291.431793,1657573200.0
290.967743,1657576800.0
290.912842,1657580400.0
289.321045,1657584000.0
288.86026,1657587600.0
288.763885,1657591200.0
289.149872,1657594800.0
290.095428,1657598400.0
291.213684,1657602000.0
292.271545,1657605600.0
292.851501,1657609200.0
293.102936,1657612800.0
293.24295,1657616400.0
293.844147,1657620000.0
294.627289,1657623600.0
295.519867,1657627200.0
296.40152,1657630800.0
296.745392,1657634400.0
296.516754,1657638000.0
296.275452,1657641600.0
296.084717,1657645200.0
295.662598,1657648800.0
294.867615,1657652400.0
293.994904,1657656000.0
293.099335,1657659600.0
292.239838,1657663200.0
291.804504,1657666800.0
292.347443,1657670400.0
291.842712,1657674000.0
291.786865,1657677600.0
291.676575,1657681200.0
292.004059,1657684800.0
292.204498,1657688400.0
291.780457,1657692000.0
292.076385,1657695600.0
292.912872,1657699200.0
293.520782,1657702800.0
293.686462,1657706400.0
293.704407,1657710000.0
294.457672,1657713600.0
294.317902,1657717200.0
293.521576,1657720800.0
293.182312,1657724400.0
292.89325,1657728000.0
293.03006,1657731600.0
293.021851,1657735200.0
292.518494,1657738800.0
291.820374,1657742400.0
291.395905,1657746000.0
290.971802,1657749600.0
290.607758,1657753200.0
289.793488,1657756800.0
289.054932,1657760400.0
288.88562,1657764000.0
289.275269,1657767600.0
289.280304,1657771200.0
289.890442,1657774800.0
290.138763,1657778400.0
290.144348,1657782000.0
290.399017,1657785600.0
290.878845,1657789200.0
289.699768,1657792800.0
290.458344,1657796400.0
290.598114,1657800000.0
289.843597,1657803600.0
290.927917,1657807200.0
291.893463,1657810800.0
291.251495,1657814400.0
290.077301,1657818000.0
288.773804,1657821600.0
288.039154,1657825200.0
287.606873,1657828800.0
287.249908,1657832400.0
286.953003,1657836000.0
286.666748,1657839600.0
286.352753,1657843200.0
285.5737,1657846800.0
285.447418,1657850400.0
285.814148,1657854000.0
286.455627,1657857600.0
287.464508,1657861200.0
288.096191,1657864800.0
289.073608,1657868400.0
289.937317,1657872000.0
290.72226,1657875600.0
291.619659,1657879200.0
292.289276,1657882800.0
292.55191,1657886400.0
292.364136,1657890000.0
292.057037,1657893600.0
291.095825,1657897200.0
291.419098,1657900800.0
290.581726,1657904400.0
290.027527,1657908000.0
288.786346,1657911600.0
287.700684,1657915200.0
287.033173,1657918800.0
285.821106,1657922400.0
285.011719,1657926000.0
285.884888,1657929600.0
285.56424,1657933200.0
285.460083,1657936800.0
285.586945,1657940400.0
286.006714,1657944000.0
286.62735,1657947600.0
286.799194,1657951200.0
287.216187,1657954800.0
287.042267,1657958400.0
287.443817,1657962000.0
287.449158,1657965600.0
287.785095,1657969200.0
287.74231,1657972800.0
287.709534,1657976400.0
287.788879,1657980000.0
287.853729,1657983600.0
287.723602,1657987200.0
287.341461,1657990800.0
287.04837,1657994400.0
286.550446,1657998000.0
286.064178,1658001600.0
285.744385,1658005200.0
285.452911,1658008800.0
285.18692,1658012400.0
285.168793,1658016000.0
285.107727,1658019600.0
285.632751,1658023200.0
285.878479,1658026800.0
286.359131,1658030400.0
286.637482,1658034000.0
286.40506,1658037600.0
286.194519,1658041200.0
286.824188,1658044800.0
287.972137,1658048400.0
288.702118,1658052000.0
289.376648,1658055600.0
288.477722,1658059200.0
