TimeStamp,WindSpeed_mps,RotorSpeed_rpm
2018-04-01 05:13:36.045,6.527658,0.1950144
2018-04-01 05:13:40.141,6.321665,0.1800133
2018-04-01 05:15:12.894,6.695884,0.04500332
2018-04-01 05:15:43.568,4.864844,0.04500332
2018-04-01 05:16:22.634,7.000295,0.04500332
2018-04-01 05:17:36.240,5.291706,0.1050077
2018-04-01 05:19:32.738,6.410929,0.06000442
2018-04-01 05:22:58.954,4.439127,0.1800133
2018-04-01 05:23:20.635,5.51143,0.1500111
2018-04-01 05:27:52.526,6.592888,0.06000442
2018-04-01 05:29:52.289,5.824996,0.01500111
2018-04-01 05:30:35.120,6.603188,0.01500111
2018-04-01 05:35:19.339,4.884299,0.1200088
2018-04-01 05:36:11.474,7.726989,0.07500553
2018-04-01 05:37:17.909,7.234897,0.07500553
2018-04-01 05:38:09.033,2.495936,0.1050077
2018-04-01 05:38:34.570,4.369319,0.1050077
2018-04-01 05:38:56.060,5.469088,0.09000664
2018-04-01 05:39:51.210,5.169255,0.07500553
2018-04-01 05:41:23.322,6.73365,0.1800133
2018-04-01 05:43:23.054,4.640542,0.1650122
2018-04-01 05:43:59.917,3.769654,0.07500553
2018-04-01 05:44:59.293,6.227825,0.04500332
2018-04-01 05:45:00.314,6.223247,0.04500332
2018-04-01 05:46:28.060,5.76892,0.1200088
2018-04-01 05:50:39.131,7.187976,0.1650122
2018-04-01 05:53:13.413,6.668419,0.09000664
2018-04-01 05:54:08.883,6.668419,0.1050077
2018-04-01 05:56:19.751,7.290972,0.09000664
2018-04-01 05:57:08.672,6.921331,0.1650122
2018-04-01 05:57:20.889,6.813757,0.1800133
2018-04-01 05:59:09.055,5.132634,0.1950144
2018-04-01 06:00:00.218,6.153439,0.1200088
2018-04-01 06:01:00.555,7.483232,0.09000664
2018-04-01 06:02:14.141,5.41759,0.07500553
2018-04-01 06:03:27.697,5.984067,0.09000664
2018-04-01 06:05:01.732,6.789725,0.07500553
2018-04-01 06:05:58.153,7.05637,0.1800133
2018-04-01 06:07:59.608,5.79753,0.1650122
2018-04-01 06:10:46.247,5.211597,0.1200088
2018-04-01 06:16:45.664,3.539629,0.03000221
2018-04-01 06:17:52.069,6.144283,0.03000221
2018-04-01 06:18:37.184,7.165088,0.03000221
2018-04-01 06:21:25.386,5.375247,0.06000442
2018-04-01 06:21:47.818,6.574578,0.06000442
2018-04-01 06:25:16.609,6.111096,0.1200088
2018-04-01 06:30:58.320,4.096952,0.1050077
2018-04-01 06:31:39.539,5.108602,0.06000442
2018-04-01 06:32:39.756,6.588311,0.07500553
2018-04-01 06:33:12.623,7.094135,0.1050077
2018-04-01 06:33:22.848,6.888144,0.1350099
2018-04-01 06:42:32.939,4.542123,0.1500111
2018-04-01 06:44:35.565,5.310016,0.1200088
2018-04-01 06:45:12.348,7.820829,0.07500553
2018-04-01 06:47:02.056,6.391474,0.06000442
2018-04-01 06:47:54.201,4.593622,0.06000442
2018-04-01 06:48:41.208,6.686729,0.09000664
2018-04-01 06:50:59.167,6.480737,0.06000442
2018-04-01 06:51:08.390,7.675491,0.06000442
2018-04-01 06:52:49.636,7.619415,0.1500111
2018-04-01 06:53:38.586,7.160511,0.09000664
2018-04-01 06:56:16.804,6.892721,0.04500332
2018-04-01 07:00:53.862,7.103291,0.07500553
2018-04-01 07:01:28.652,6.668419,0.09000664
2018-04-01 07:02:53.614,5.909681,0.04500332
2018-04-01 07:04:31.705,5.665925,0.07500553
2018-04-01 07:04:32.717,6.433817,0.07500553
2018-04-01 07:05:12.584,6.2839,0.1650122
2018-04-01 07:05:42.136,6.630653,0.2250166
2018-04-01 07:06:21.994,5.099446,0.1200088
2018-04-01 07:07:41.808,4.017988,0.1800133
2018-04-01 07:09:49.402,4.261745,0.01500111
2018-04-01 07:11:22.346,3.933303,0
2018-04-01 07:11:29.476,4.186215,0
2018-04-01 07:13:29.849,5.51143,0.03000221
2018-04-01 07:14:19.841,4.476893,0.04500332
2018-04-01 07:17:09.795,5.923414,0.04500332
2018-04-01 07:19:20.593,4.190793,0
