,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
286,2020-05-13T00:00:00.000Z,0.695,0.717,0.665,0.717,704603,0.695,0.717,0.665,0.717,704603,0.0,1.0
287,2020-05-14T00:00:00.000Z,0.683,0.735,0.676,0.727,978479,0.683,0.735,0.676,0.727,978479,0.0,1.0
288,2020-05-15T00:00:00.000Z,0.71,0.718,0.675,0.68,920577,0.71,0.718,0.675,0.68,920577,0.0,1.0
289,2020-05-18T00:00:00.000Z,0.68,0.7,0.663,0.7,902755,0.68,0.7,0.663,0.7,902755,0.0,1.0
290,2020-05-19T00:00:00.000Z,0.67,0.68,0.65,0.68,838515,0.67,0.68,0.65,0.68,838515,0.0,1.0
291,2020-05-20T00:00:00.000Z,1.57,3.0,0.966,1.0,76703961,1.57,3.0,0.966,1.0,76703961,0.0,1.0
292,2020-05-21T00:00:00.000Z,1.33,1.82,1.25,1.65,18559634,1.33,1.82,1.25,1.65,18559634,0.0,1.0
293,2020-05-22T00:00:00.000Z,1.29,1.47,1.23,1.36,7061528,1.29,1.47,1.23,1.36,7061528,0.0,1.0
294,2020-05-26T00:00:00.000Z,1.24,1.31,1.15,1.3,3105618,1.24,1.31,1.15,1.3,3105618,0.0,1.0
295,2020-05-27T00:00:00.000Z,1.4,1.58,1.3,1.58,12223944,1.4,1.58,1.3,1.58,12223944,0.0,1.0
296,2020-05-28T00:00:00.000Z,1.34,1.45,1.31,1.45,3336632,1.34,1.45,1.31,1.45,3336632,0.0,1.0
297,2020-05-29T00:00:00.000Z,1.29,1.35,1.25,1.27,1828565,1.29,1.35,1.25,1.27,1828565,0.0,1.0
298,2020-06-01T00:00:00.000Z,1.26,1.28,1.23,1.26,1412423,1.26,1.28,1.23,1.26,1412423,0.0,1.0
299,2020-06-02T00:00:00.000Z,1.23,1.33,1.23,1.32,1652665,1.23,1.33,1.23,1.32,1652665,0.0,1.0
300,2020-06-03T00:00:00.000Z,1.28,1.31,1.19,1.2,2626634,1.28,1.31,1.19,1.2,2626634,0.0,1.0
301,2020-06-04T00:00:00.000Z,1.24,1.3,1.19,1.3,2438724,1.24,1.3,1.19,1.3,2438724,0.0,1.0
302,2020-06-05T00:00:00.000Z,1.21,1.24,1.19,1.23,1288270,1.21,1.24,1.19,1.23,1288270,0.0,1.0
303,2020-06-08T00:00:00.000Z,1.25,1.26,1.13,1.2,3024375,1.25,1.26,1.13,1.2,3024375,0.0,1.0
304,2020-06-09T00:00:00.000Z,1.36,1.41,1.2,1.27,3766019,1.36,1.41,1.2,1.27,3766019,0.0,1.0
305,2020-06-10T00:00:00.000Z,1.26,1.33,1.22,1.32,1344594,1.26,1.33,1.22,1.32,1344594,0.0,1.0
306,2020-06-11T00:00:00.000Z,1.16,1.209,1.06,1.2,4859762,1.16,1.209,1.06,1.2,4859762,0.0,1.0
307,2020-06-12T00:00:00.000Z,1.16,1.25,1.13,1.24,1906737,1.16,1.25,1.13,1.24,1906737,0.0,1.0
308,2020-06-15T00:00:00.000Z,1.14,1.14,1.04,1.13,751656,1.14,1.14,1.04,1.13,751656,0.0,1.0
309,2020-06-16T00:00:00.000Z,1.69,1.74,1.16,1.27,20964178,1.69,1.74,1.16,1.27,20964178,0.0,1.0
310,2020-06-17T00:00:00.000Z,1.33,1.53,1.33,1.5,6986663,1.33,1.53,1.33,1.5,6986663,0.0,1.0
311,2020-06-18T00:00:00.000Z,1.27,1.38,1.26,1.32,2735979,1.27,1.38,1.26,1.32,2735979,0.0,1.0
312,2020-06-19T00:00:00.000Z,1.21,1.33,1.19,1.32,3380043,1.21,1.33,1.19,1.32,3380043,0.0,1.0
313,2020-06-22T00:00:00.000Z,1.2,1.23,1.18,1.21,1113121,1.2,1.23,1.18,1.21,1113121,0.0,1.0
314,2020-06-23T00:00:00.000Z,1.26,1.32,1.22,1.26,3633343,1.26,1.32,1.22,1.26,3633343,0.0,1.0
315,2020-06-24T00:00:00.000Z,1.24,1.28,1.17,1.27,1433788,1.24,1.28,1.17,1.27,1433788,0.0,1.0
316,2020-06-25T00:00:00.000Z,1.23,1.25,1.17,1.21,1075601,1.23,1.25,1.17,1.21,1075601,0.0,1.0
317,2020-06-26T00:00:00.000Z,1.34,1.39,1.26,1.38,8289674,1.34,1.39,1.26,1.38,8289674,0.0,1.0
318,2020-06-29T00:00:00.000Z,1.28,1.34,1.25,1.29,1337066,1.28,1.34,1.25,1.29,1337066,0.0,1.0
319,2020-06-30T00:00:00.000Z,1.23,1.27,1.21,1.26,1003399,1.23,1.27,1.21,1.26,1003399,0.0,1.0
320,2020-07-01T00:00:00.000Z,1.24,1.27,1.22,1.25,810081,1.24,1.27,1.22,1.25,810081,0.0,1.0
321,2020-07-02T00:00:00.000Z,1.22,1.24,1.19,1.24,969073,1.22,1.24,1.19,1.24,969073,0.0,1.0
322,2020-07-06T00:00:00.000Z,1.19,1.24,1.18,1.21,919576,1.19,1.24,1.18,1.21,919576,0.0,1.0
323,2020-07-07T00:00:00.000Z,1.2,1.3,1.16,1.19,3245247,1.2,1.3,1.16,1.19,3245247,0.0,1.0
324,2020-07-08T00:00:00.000Z,1.23,1.27,1.18,1.2,3001567,1.23,1.27,1.18,1.2,3001567,0.0,1.0
325,2020-07-09T00:00:00.000Z,1.22,1.26,1.18,1.25,1688948,1.22,1.26,1.18,1.25,1688948,0.0,1.0
326,2020-07-10T00:00:00.000Z,1.22,1.23,1.2,1.22,807086,1.22,1.23,1.2,1.22,807086,0.0,1.0
327,2020-07-13T00:00:00.000Z,1.3,1.33,1.18,1.21,7234452,1.3,1.33,1.18,1.21,7234452,0.0,1.0
328,2020-07-14T00:00:00.000Z,1.29,1.39,1.23,1.33,6910657,1.29,1.39,1.23,1.33,6910657,0.0,1.0
329,2020-07-15T00:00:00.000Z,1.44,1.8,1.38,1.7,42936327,1.44,1.8,1.38,1.7,42936327,0.0,1.0
330,2020-07-16T00:00:00.000Z,1.49,1.52,1.325,1.4,10765739,1.49,1.52,1.325,1.4,10765739,0.0,1.0
331,2020-07-17T00:00:00.000Z,1.68,1.7,1.47,1.53,13055161,1.68,1.7,1.47,1.53,13055161,0.0,1.0
332,2020-07-20T00:00:00.000Z,1.53,1.69,1.52,1.64,4978353,1.53,1.69,1.52,1.64,4978353,0.0,1.0
333,2020-07-21T00:00:00.000Z,1.51,1.6,1.4,1.5,7220807,1.51,1.6,1.4,1.5,7220807,0.0,1.0
334,2020-07-22T00:00:00.000Z,1.48,1.66,1.46,1.5,5086886,1.48,1.66,1.46,1.5,5086886,0.0,1.0
335,2020-07-23T00:00:00.000Z,1.57,1.59,1.42,1.49,5423379,1.57,1.59,1.42,1.49,5423379,0.0,1.0
336,2020-07-24T00:00:00.000Z,1.51,1.62,1.47,1.61,3471893,1.51,1.62,1.47,1.61,3471893,0.0,1.0
337,2020-07-27T00:00:00.000Z,1.53,1.65,1.47,1.53,6497157,1.53,1.65,1.47,1.53,6497157,0.0,1.0
338,2020-07-28T00:00:00.000Z,1.53,1.56,1.48,1.55,2626077,1.53,1.56,1.48,1.55,2626077,0.0,1.0
339,2020-07-29T00:00:00.000Z,1.48,1.53,1.42,1.51,3324329,1.48,1.53,1.42,1.51,3324329,0.0,1.0
340,2020-07-30T00:00:00.000Z,1.46,1.56,1.4,1.42,4775674,1.46,1.56,1.4,1.42,4775674,0.0,1.0
341,2020-07-31T00:00:00.000Z,1.49,1.57,1.41,1.42,6351657,1.49,1.57,1.41,1.42,6351657,0.0,1.0
342,2020-08-03T00:00:00.000Z,1.58,1.66,1.45,1.51,7497061,1.58,1.66,1.45,1.51,7497061,0.0,1.0
343,2020-08-04T00:00:00.000Z,1.6,1.85,1.58,1.61,8935747,1.6,1.85,1.58,1.61,8935747,0.0,1.0
344,2020-08-05T00:00:00.000Z,1.64,1.75,1.55,1.61,4231784,1.64,1.75,1.55,1.61,4231784,0.0,1.0
345,2020-08-06T00:00:00.000Z,1.66,1.71,1.61,1.7,2009346,1.66,1.71,1.61,1.7,2009346,0.0,1.0
346,2020-08-07T00:00:00.000Z,1.61,1.69,1.6,1.63,1482064,1.61,1.69,1.6,1.63,1482064,0.0,1.0
347,2020-08-10T00:00:00.000Z,1.68,1.74,1.601,1.61,3342542,1.68,1.74,1.601,1.61,3342542,0.0,1.0
348,2020-08-11T00:00:00.000Z,1.63,1.94,1.63,1.68,13788564,1.63,1.94,1.63,1.68,13788564,0.0,1.0
349,2020-08-12T00:00:00.000Z,1.49,1.7,1.43,1.68,4550711,1.49,1.7,1.43,1.68,4550711,0.0,1.0
350,2020-08-13T00:00:00.000Z,1.47,1.56,1.43,1.56,2103812,1.47,1.56,1.43,1.56,2103812,0.0,1.0
351,2020-08-14T00:00:00.000Z,1.36,1.48,1.33,1.47,2716453,1.36,1.48,1.33,1.47,2716453,0.0,1.0
352,2020-08-17T00:00:00.000Z,1.35,1.43,1.29,1.42,4143948,1.35,1.43,1.29,1.42,4143948,0.0,1.0
353,2020-08-18T00:00:00.000Z,1.28,1.36,1.28,1.36,1733767,1.28,1.36,1.28,1.36,1733767,0.0,1.0
354,2020-08-19T00:00:00.000Z,1.29,1.42,1.25,1.29,6505988,1.29,1.42,1.25,1.29,6505988,0.0,1.0
355,2020-08-20T00:00:00.000Z,1.225,1.315,1.2,1.2964,3278757,1.225,1.315,1.2,1.2964,3278757,0.0,1.0
356,2020-08-21T00:00:00.000Z,1.21,1.26,1.19,1.23,2426058,1.21,1.26,1.19,1.23,2426058,0.0,1.0
357,2020-08-24T00:00:00.000Z,1.05,1.19,1.01,1.18,4715122,1.05,1.19,1.01,1.18,4715122,0.0,1.0
358,2020-08-25T00:00:00.000Z,1.06,1.09,1.04,1.09,1503050,1.06,1.09,1.04,1.09,1503050,0.0,1.0
359,2020-08-26T00:00:00.000Z,1.1,1.27,1.085,1.1713,10257846,1.1,1.27,1.085,1.1713,10257846,0.0,1.0
360,2020-08-27T00:00:00.000Z,1.06,1.1,1.02,1.09,1814507,1.06,1.1,1.02,1.09,1814507,0.0,1.0
361,2020-08-28T00:00:00.000Z,1.05,1.06,1.03,1.04,1180109,1.05,1.06,1.03,1.04,1180109,0.0,1.0
